City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,kayar,14.9192,-17.1211,24.53,68,1,4.68,SN,1702331947
301,bamboo flat,11.7,92.7167,26.81,82,53,3.68,IN,1702331947
302,muswellbrook,-32.2667,150.9,22.91,65,98,3.06,AU,1702331947
303,forbes,-33.3833,148.0167,27.73,39,31,4.39,AU,1702331947
304,baukau,51.5526,7.2042,9.66,83,100,2.24,DE,1702331947
305,sandnessjoen,66.0217,12.6316,-2.94,63,0,1.54,NO,1702331947
306,tamanrasset,22.785,5.5228,14.95,18,0,3.09,DZ,1702331736
307,barra dos coqueiros,-10.9089,-37.0386,28.01,69,0,6.69,BR,1702331947
308,shahrak,34.1074,64.3052,-2.0,78,1,0.99,AF,1702331740
309,santa ana de yacuma,-13.75,-65.4333,26.97,89,75,3.09,BO,1702331352
310,antonio enes,-16.2325,39.9086,26.97,79,86,3.75,MZ,1702331771
311,goondiwindi,-28.55,150.3167,24.15,54,18,6.65,AU,1702331948
312,codrington,-38.2667,141.9667,20.9,82,100,5.73,AU,1702331745
313,carutapera,-1.195,-46.02,26.79,77,51,4.28,BR,1702331948
314,badger,64.8,-147.5333,-8.07,86,100,0.0,US,1702331733
315,ha giang,22.8333,104.9833,21.1,98,33,1.04,VN,1702331948
316,at taraf,25.3628,49.725,17.3,39,75,2.31,SA,1702331948
317,atascocita,29.9988,-95.1766,18.5,40,20,2.57,US,1702331859
318,santo antonio do ica,-3.1022,-67.9397,26.47,92,93,0.69,BR,1702331948
319,nkhotakota,-12.9274,34.2961,26.51,72,72,3.3,MW,1702331949
320,jayapura,-2.5333,140.7,26.66,84,100,2.33,ID,1702331949
321,itacoatiara,-3.1431,-58.4442,24.37,97,100,1.06,BR,1702331949
322,south hedland,-20.4089,118.5983,19.96,68,0,2.06,AU,1702331949
323,zakynthos,37.7914,20.8953,10.91,74,15,2.44,GR,1702331949
324,diego de almagro,-26.3667,-70.05,27.63,18,4,4.91,CL,1702331949
325,luziania,-16.2525,-47.9503,25.83,73,100,2.06,BR,1702331949
326,espanola,35.9911,-106.0806,11.78,28,100,0.57,US,1702331949
327,hue,16.4667,107.6,23.06,100,40,1.03,VN,1702331949
328,karachi,24.9056,67.0822,16.9,82,45,2.57,PK,1702331950
329,juticalpa,14.65,-86.2,31.08,75,45,1.95,HN,1702331950
330,papao,-17.75,-149.55,28.7,78,90,10.98,PF,1702331692
331,kiffa,16.6166,-11.4045,23.8,13,73,4.72,MR,1702331950
332,kumagunnam,13.1551,10.6342,17.44,31,2,4.34,NG,1702331950
333,anadyr,64.75,177.4833,-26.67,75,20,4.0,RU,1702331737
334,pomorie,42.5588,27.6439,3.24,93,100,4.12,BG,1702331950
335,kalat,29.0225,66.5916,3.41,39,48,1.63,PK,1702331950
336,karlskrona,56.1616,15.5866,1.25,97,100,6.52,SE,1702331950
337,brandon,27.9378,-82.2859,17.72,58,0,2.24,US,1702331545
338,buenavista del norte,28.3746,-16.861,22.36,57,54,2.65,ES,1702331950
339,bodaybo,57.8506,114.1933,-28.46,99,100,0.48,RU,1702331951
340,kuanda,56.3161,116.0806,-36.5,98,80,0.28,RU,1702331951
341,safwa,26.6499,49.9522,16.04,67,69,2.72,SA,1702331951
342,hammerfest,70.6634,23.6821,-1.75,93,75,4.63,NO,1702331951
343,rongelap,11.1635,166.8941,27.67,76,73,8.9,MH,1702331761
344,remire-montjoly,4.9167,-52.2667,28.02,78,40,2.57,GF,1702331701
345,bekobod,40.2208,69.2697,-3.17,94,100,5.51,UZ,1702331951
346,nouadhibou,20.931,-17.0347,22.99,31,24,4.63,MR,1702331951
347,luganville,-15.5333,167.1667,25.78,74,100,3.33,VU,1702331553
348,belmonte,-15.8631,-38.8828,26.08,80,81,5.2,BR,1702331951
349,patur,20.45,76.9333,18.75,59,10,2.31,IN,1702331951
350,hanceville,34.0607,-86.7675,10.3,55,0,1.59,US,1702331951
351,constantia,44.1833,28.65,2.61,81,36,4.29,RO,1702331732
352,maceio,-9.6658,-35.7353,25.69,83,0,3.09,BR,1702331861
353,mwinilunga,-11.7358,24.4293,18.34,97,100,1.05,ZM,1702331952
354,mpraeso,6.5932,-0.7346,22.68,44,1,1.46,GH,1702331952
355,holualoa,19.6228,-155.9522,27.1,78,40,4.12,US,1702331915
